Начало,Конец,Город,название,Описание,Возрастной рейтинг,Ссылка,Название фандома/фильма/аниме,Активность,Контент,Музыка
1/4/2021,1/5/2021,Онлайн,Деткон XV онлайн,"Ролевые игры, настольные игры, фантастика, творчество",Нет,https://anime-conventions.ru/cities/2021.html,-,настольные игры,-,-
1/22/2021,5/30/2021,Москва,Фукусима: надежда и отчаяние,"Фотовыставка, Сигэру Ёсида",Нет,https://anime-conventions.ru/cities/2021.html,-,-,-,-
1/30/2021,1/30/2021,Тула,Yuki no Odori (YnO),"Аниме, косплей, K-pop, восточно-азиатская культура",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,аниме,K-pop
2/4/2021,2/8/2021,Санкт-Петербург,54-й фестиваль японского кино ,Японское кино,Нет,https://anime-conventions.ru/cities/2021.html,-,-,-,-
2/21/2021,2/21/2021,Миасс,АНИМЕФЕСТ,"Аниме, фотокосплей, косплей, ярмарка",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,ярмарка,-
2/28/2021,2/28/2021,Онлайн,АзияБриз: Зима,"Вокал, выставка кукол, фотокосплей, мастер-классы, ёнкома",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,мастер-классы,-
3/7/2021,3/7/2021,Онлайн,Орден Сюн Мао,"Квесты, косплей, творчество, конкурсы",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,-,-
4/4/2021,4/4/2021,Казань,Yokai Kabuki ,"Азиатская культура, анимация, караоке, ярмарка, мастер-классы",Нет,https://anime-conventions.ru/cities/2021.html,-,-,мастер-классы,караоке
4/10/2021,4/10/2021,Архангельск,Анимия,Восточная культура,Нет,https://anime-conventions.ru/cities/2021.html,-,-,-,-
4/10/2021,4/10/2021,Нижний Новгород,ASIA ZONE: BIRTHDAY PARTY,"K-pop, розыгрыш, дискотека",12+,https://anime-conventions.ru/cities/2021.html,-,-,-,K-pop
4/10/2021,4/11/2021,Рязань,Моя сцена,"Косплей, фильмы, аниме, компьютерные игры",Нет,https://anime-conventions.ru/cities/2021.html,-,косплей,аниме,-
4/11/2021,4/11/2021,Москва,Аниме и К-поп пати День аниме,"Аниме, косплей, настольные игры, конкурсы, творчество",10+,https://anime-conventions.ru/cities/2021.html,-,настольные игры,аниме,-
